source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC005,SRC028,0.46899213,0.53100787
SRC005,SRC029,0.44399893,0.55600107
SRC005,SRC030,0.65035464,0.34964536
SRC005,SRC031,0.33993949,0.66006051
SRC005,SRC032,0.52918992,0.47081008
SRC005,SRC033,0.40794940,0.59205060
SRC005,SRC034,0.35887079,0.64112921
SRC005,SRC035,0.24873775,0.75126225
SRC005,SRC036,0.67648782,0.32351218
SRC005,SRC037,0.55361757,0.44638243
SRC005,SRC038,0.03712195,0.96287805
SRC005,SRC039,0.90648150,0.09351850
SRC005,SRC040,0.80167107,0.19832893
SRC005,SRC041,0.23660507,0.76339493
SRC005,SRC042,0.08804657,0.91195343
SRC005,SRC043,0.61546032,0.38453968
SRC005,SRC044,0.41983047,0.58016953
SRC005,SRC045,0.31123210,0.68876790
SRC005,SRC046,0.75646017,0.24353983
SRC005,SRC047,0.35847986,0.64152014
SRC005,SRC048,0.48365248,0.51634752
SRC005,SRC049,0.61300081,0.38699919
SRC005,SRC050,0.21305766,0.78694234
SRC006,SRC007,0.32279101,0.67720899
SRC006,SRC008,0.36246765,0.63753235
SRC006,SRC009,0.99734495,0.00265505
SRC006,SRC010,0.14328681,0.85671319
SRC006,SRC011,0.39932684,0.60067316
SRC006,SRC012,0.71140912,0.28859088
SRC006,SRC013,0.33795421,0.66204579
SRC006,SRC014,0.49704873,0.50295127
SRC006,SRC015,0.81415201,0.18584799
SRC006,SRC016,0.44772620,0.55227380
SRC006,SRC017,0.51338162,0.48661838
SRC006,SRC018,0.52340657,0.47659343
SRC006,SRC019,0.29690586,0.70309414
SRC006,SRC020,0.41750472,0.58249528
SRC006,SRC021,0.99584690,0.00415310
SRC006,SRC022,0.23615787,0.76384213
SRC006,SRC023,0.43360860,0.56639140
SRC006,SRC024,0.38681859,0.61318141
SRC006,SRC025,0.66326347,0.33673653
SRC006,SRC026,0.21430007,0.78569993
SRC006,SRC027,0.55758995,0.44241005
SRC006,SRC028,0.06419248,0.93580752
SRC006,SRC029,0.80065429,0.19934571
SRC006,SRC030,0.34665162,0.65334838
SRC006,SRC031,0.50243315,0.49756685
SRC006,SRC032,0.64905525,0.35094475
SRC006,SRC033,0.65277339,0.34722661
SRC006,SRC034,0.68531792,0.31468208
SRC006,SRC035,0.24524025,0.75475975
SRC006,SRC036,0.82177311,0.17822689
SRC006,SRC037,0.79866965,0.20133035
SRC006,SRC038,0.02152329,0.97847671
SRC006,SRC039,0.90960014,0.09039986
SRC006,SRC040,0.43364807,0.56635193
SRC006,SRC041,0.02773374,0.97226626
SRC006,SRC042,0.20931127,0.79068873
SRC006,SRC043,0.78581834,0.21418166
SRC006,SRC044,0.07287619,0.92712381
SRC006,SRC045,0.43824366,0.56175634
SRC006,SRC046,0.51610800,0.48389200
SRC006,SRC047,0.01974286,0.98025714
SRC006,SRC048,0.47156265,0.52843735
SRC006,SRC049,0.53879912,0.46120088
SRC006,SRC050,0.11857010,0.88142990
SRC007,SRC008,0.24079563,0.75920437
SRC007,SRC009,0.33019057,0.66980943
SRC007,SRC010,0.06986587,0.93013413
SRC007,SRC011,0.36014653,0.63985347
SRC007,SRC012,0.62443184,0.37556816
SRC007,SRC013,0.42882157,0.57117843
SRC007,SRC014,0.23404047,0.76595953
SRC007,SRC015,0.54588049,0.45411951
SRC007,SRC016,0.41365740,0.58634260
SRC007,SRC017,0.28031671,0.71968329
SRC007,SRC018,0.00347458,0.99652542
SRC007,SRC019,0.43512423,0.56487577
SRC007,SRC020,0.02789584,0.97210416
SRC007,SRC021,0.37622202,0.62377798
SRC007,SRC022,0.36085353,0.63914647
SRC007,SRC023,0.19705808,0.80294192
SRC007,SRC024,0.01361650,0.98638350
SRC007,SRC025,0.02140911,0.97859089
SRC007,SRC026,0.21646705,0.78353295
SRC007,SRC027,0.25182447,0.74817553
SRC007,SRC028,0.44561911,0.55438089
SRC007,SRC029,0.46012750,0.53987250
SRC007,SRC030,0.21678914,0.78321086
SRC007,SRC031,0.00797726,0.99202274
SRC007,SRC032,0.40828942,0.59171058
SRC007,SRC033,0.45094826,0.54905174
SRC007,SRC034,0.29874227,0.70125773
SRC007,SRC035,0.28461753,0.71538247
SRC007,SRC036,0.54580232,0.45419768
SRC007,SRC037,0.55940505,0.44059495
SRC007,SRC038,0.83767825,0.16232175
SRC007,SRC039,0.12404644,0.87595356
SRC007,SRC040,0.14567084,0.85432916
SRC007,SRC041,0.54807250,0.45192750
SRC007,SRC042,0.17743050,0.82256950
SRC007,SRC043,0.39330953,0.60669047
SRC007,SRC044,0.03472258,0.96527742
SRC007,SRC045,0.05004386,0.94995614
SRC007,SRC046,0.42629455,0.57370545
SRC007,SRC047,0.07818098,0.92181902
SRC007,SRC048,0.84511613,0.15488387
SRC007,SRC049,0.77779979,0.22220021
SRC007,SRC050,0.49777545,0.50222455
SRC008,SRC009,0.31714142,0.68285858
SRC008,SRC010,0.59398786,0.40601214
SRC008,SRC011,0.02712752,0.97287248
SRC008,SRC012,0.27757473,0.72242527
SRC008,SRC013,0.25678672,0.74321328
SRC008,SRC014,0.54814044,0.45185956
SRC008,SRC015,0.51015368,0.48984632
SRC008,SRC016,0.10543777,0.89456223
SRC008,SRC017,0.47654870,0.52345130
SRC008,SRC018,0.02236033,0.97763967
SRC008,SRC019,0.30081180,0.69918820
SRC008,SRC020,0.71405462,0.28594538
SRC008,SRC021,0.36646488,0.63353512
SRC008,SRC022,0.52448171,0.47551829
SRC008,SRC023,0.24802372,0.75197628
SRC008,SRC024,0.83462087,0.16537913
SRC008,SRC025,0.14501501,0.85498499
SRC008,SRC026,0.83007959,0.16992041
SRC008,SRC027,0.46350059,0.53649941
SRC008,SRC028,0.43594321,0.56405679
SRC008,SRC029,0.14598880,0.85401120
SRC008,SRC030,0.38945885,0.61054115
SRC008,SRC031,0.08164145,0.91835855
SRC008,SRC032,0.11432650,0.88567350
SRC008,SRC033,0.32763917,0.67236083
SRC008,SRC034,0.37488259,0.62511741
SRC008,SRC035,0.39204935,0.60795065
SRC008,SRC036,0.11325554,0.88674446
SRC008,SRC037,0.07465964,0.92534036
SRC008,SRC038,0.51195330,0.48804670
SRC008,SRC039,0.46970539,0.53029461
SRC008,SRC040,0.81426007,0.18573993
SRC008,SRC041,0.11203411,0.88796589
SRC008,SRC042,0.57961454,0.42038546
SRC008,SRC043,0.05455561,0.94544439
SRC008,SRC044,0.42269880,0.57730120
SRC008,SRC045,0.25146747,0.74853253
