event_id,depth_bin_km,mechanism_class,candidate_quantile_index,radiation_score,selection_rank,selected,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
C202102180637A,0-70,normal,101,3.81752688,8,false,0.36877519,0.00000000,0.84428904,0.00000000,0.58001512,0.00000000,0.65217692,0.00000000,0.91676168,0.00000000,0.45550893,0.00000000
C201410140351A,0-70,normal,393,3.80547243,9,false,0.81620871,0.00000000,0.63723389,0.00000000,0.75986339,0.00000000,0.59160328,0.00000000,0.23696373,0.00000000,0.76359944,0.00000000
C201711200009A,0-70,normal,348,3.71392489,10,false,0.63231323,0.00000000,0.70830449,0.00000000,0.86492346,0.00000000,0.32637186,0.00000000,0.89091098,0.00000000,0.29110086,0.00000000
C201204021736A,0-70,normal,56,3.70229531,11,false,0.83693825,0.00000000,0.42030640,0.00000000,0.95642135,0.00000000,0.11361750,0.00000000,0.67472315,0.00000000,0.70028866,0.00000000
C091192B,0-70,normal,258,3.61067810,12,false,0.86884467,0.00000000,0.23353353,0.00000000,0.73918707,0.00000000,0.51470332,0.00000000,0.31563621,0.00000000,0.93877330,0.00000000
C200806281254A,0-70,normal,33,3.60957323,13,false,0.42707872,0.00000000,0.83317787,0.00000000,0.86333265,0.00000000,0.37540545,0.00000000,0.75859210,0.00000000,0.35198644,0.00000000
C202108161110A,0-70,normal,281,3.60883406,14,false,0.59466066,0.00000000,0.66360759,0.00000000,0.95651243,0.00000000,0.25415265,0.00000000,0.54893021,0.00000000,0.59097051,0.00000000
C200804282026A,0-70,normal,303,3.56708966,15,false,0.98969056,0.00000000,0.14990816,0.07647059,0.62962285,0.00000000,0.77257600,0.00000000,0.72054214,0.00000000,0.45769112,0.00000000
C200506041450A,0-70,normal,371,3.51546411,16,false,0.39365310,0.00000000,0.73187705,0.00000000,0.35174757,0.00000000,0.76487398,0.00000000,0.50263558,0.00000000,0.77067682,0.00000000
C201101091003A,0-70,normal,146,3.36879274,17,false,0.94743355,0.00000000,0.16487646,0.11764706,0.78718280,0.00000000,0.46754439,0.00000000,0.72864485,0.00000000,0.50840480,0.00000000
C202105310659A,0-70,normal,438,3.30326567,18,false,0.42741984,0.00000000,0.55263487,0.00000000,0.92681461,0.00000000,0.26264616,0.00000000,0.39526730,0.00000000,0.73848289,0.00000000
C112900B,0-70,normal,416,3.00363551,19,false,0.41116170,0.00000000,0.64656709,0.00000000,0.12417341,0.00000000,0.64732611,0.00000000,0.57072827,0.00000000,0.60367892,0.00000000
C202508011820A,0-70,normal,123,2.61126569,20,false,0.82960862,0.00000000,0.41392305,0.00000000,0.98207248,0.00000000,0.08369475,0.51764706,0.76935682,0.00000000,0.56790409,0.00000000
C051200D,70-150,strike_slip,67,4.70505590,1,true,0.79435390,0.00000000,0.97236501,0.00000000,0.38307249,0.00000000,0.98478839,0.00000000,0.48783577,0.00000000,1.08264034,0.00000000
C200504111708A,70-150,strike_slip,17,3.19680623,2,true,0.15836538,0.00588235,0.77036661,0.00000000,0.90366247,0.00000000,0.51668043,0.00000000,0.16254778,0.00000000,0.69694826,0.00000000
C072895B,70-150,strike_slip,110,3.17337441,3,false,0.26366457,0.00000000,0.72688933,0.00000000,0.21440036,0.05882353,0.74052015,0.00000000,0.61241429,0.00000000,0.73313278,0.00000000
C201507290235A,70-150,strike_slip,117,3.00255350,4,false,0.59714969,0.00000000,0.45726185,0.00000000,0.15648035,0.00000000,0.94314058,0.00000000,0.54819458,0.00000000,0.30032644,0.00000000
B050990A,70-150,strike_slip,74,2.92587947,5,false,0.69390054,0.00000000,0.75204877,0.00000000,0.10008880,0.16470588,0.65577121,0.00000000,0.25816906,0.00000000,0.79531286,0.00000000
C072801A,70-150,strike_slip,138,2.90916768,6,false,0.63885747,0.00000000,0.53466168,0.00000000,0.16681532,0.00000000,0.86363934,0.00000000,0.39720578,0.00000000,0.30798809,0.00000000
C201612292230A,70-150,strike_slip,53,2.82618912,7,false,0.17760202,0.00000000,0.76410983,0.00000000,0.21159922,0.00000000,0.42780455,0.00000000,0.65893590,0.00000000,0.58613759,0.00000000
C201007210916A,70-150,strike_slip,102,2.68357851,8,false,0.19439815,0.00000000,0.82991293,0.00000000,0.31798218,0.00000000,0.28710006,0.00000000,0.58611081,0.00000000,0.46807438,0.00000000
C200808300654A,70-150,strike_slip,39,2.38817004,9,false,0.19141891,0.00000000,0.68576465,0.00000000,0.54323368,0.00000000,0.54371679,0.00000000,0.14983114,0.00000000,0.27420487,0.00000000
