run_id,body_i,body_j,center_distance_km,support_radius_i_km,support_radius_j_km,clearance_km,status
SRC047_TRIULVZ,1,2,5491.254382,655.0000,400.0000,4436.254382,PASS
SRC047_TRIULVZ,1,3,5406.364673,655.0000,240.0000,4511.364673,PASS
SRC047_TRIULVZ,2,3,4930.648776,400.0000,240.0000,4290.648776,PASS
SRC048_TRIULVZ,1,2,4886.807253,240.0000,240.0000,4406.807253,PASS
SRC048_TRIULVZ,1,3,4848.080583,240.0000,655.0000,3953.080583,PASS
SRC048_TRIULVZ,2,3,5003.468963,240.0000,655.0000,4108.468963,PASS
SRC049_TRIULVZ,1,2,5573.076069,400.0000,446.9118,4726.164269,PASS
SRC049_TRIULVZ,1,3,5146.586936,400.0000,240.0000,4506.586936,PASS
SRC049_TRIULVZ,2,3,5499.050390,446.9118,240.0000,4812.138590,PASS
SRC050_TRIULVZ,1,2,5149.293335,400.0000,655.0000,4094.293335,PASS
SRC050_TRIULVZ,1,3,5149.293335,400.0000,655.0000,4094.293335,PASS
SRC050_TRIULVZ,2,3,4727.427613,655.0000,655.0000,3417.427613,PASS
