run_id,source_id,stage,baseline_pair_id,source_depth_km,strike_deg,dip_deg,rake_deg,m0_dyne_cm,nchunks,nex_xi,nex_eta,nproc_xi,nproc_eta,oceans,ellipticity,topography,gravity,rotation,attenuation,absorbing_conditions,dt_s,record_length_minutes,expected_nstep,expected_npts,station_count,n_ulvz,scratch_path,execution_order,input_hash,preflight_status,body1_instance_id,body1_sector,body1_position_id,body1_latitude_deg,body1_longitude_deg,body1_radius_km,body1_thickness_km,body1_dVs_percent,body1_dVp_percent,body1_dRho_percent,body1_lateral_taper_km,body1_top_taper_km,body2_instance_id,body2_sector,body2_position_id,body2_latitude_deg,body2_longitude_deg,body2_radius_km,body2_thickness_km,body2_dVs_percent,body2_dVp_percent,body2_dRho_percent,body2_lateral_taper_km,body2_top_taper_km,body3_instance_id,body3_sector,body3_position_id,body3_latitude_deg,body3_longitude_deg,body3_radius_km,body3_thickness_km,body3_dVs_percent,body3_dVp_percent,body3_dRho_percent,body3_lateral_taper_km,body3_top_taper_km
SRC011_B0,SRC011,stage1_baseline,SRC011_B0,15.0000,288.0,77.0,174.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC011_B0/DATABASES_MPI/,11,c26e42d93b99561d07119139dedd998cc56b99b2a680e713b1dca3db009f1f73,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC011_TRIULVZ,SRC011,stage2_multi,SRC011_B0,15.0000,288.0,77.0,174.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC011_TRIULVZ/DATABASES_MPI/,61,5c43654656812807d91c020563a52ac6230d41580fcb4cbbd41e315329f723f3,PASS,ULVZ111,A,A_G07,-2.50000000,52.00000000,240.0000,15.0000,-20.0000,0.0000,13.5294,0.0000,0.0000,ULVZ125,B,B_G07,-41.29820323,-35.04531474,317.5000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,ULVZ085,C,C_G07,44.71634893,-30.05173316,240.0000,13.4091,-23.4091,0.0000,0.0000,0.0000,0.0000
SRC012_B0,SRC012,stage1_baseline,SRC012_B0,15.0000,127.0,34.0,-99.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC012_B0/DATABASES_MPI/,12,6f6243ba5163db9a13a0ede686cdcbacb520f8eb3ca0982092b15ae8731809db,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC012_TRIULVZ,SRC012,stage2_multi,SRC012_B0,15.0000,127.0,34.0,-99.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC012_TRIULVZ/DATABASES_MPI/,62,6129aa078aab1228e1043f498e728a36bd53cb2de9d298ba04482810fe44227c,PASS,ULVZ050,A,A_G05,0.00000000,59.50000000,240.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,ULVZ075,B,B_G04,-45.53792330,-36.03605854,400.0000,15.0000,-25.0000,-13.2955,0.0000,0.0000,0.0000,ULVZ055,C,C_G01,41.51905367,-29.84667315,240.0000,15.0000,-29.5455,0.0000,0.0000,0.0000,0.0000
SRC013_B0,SRC013,stage1_baseline,SRC013_B0,15.0000,25.0,73.0,-166.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC013_B0/DATABASES_MPI/,13,46b4f17a7720e56c7cdb2e343abdbda37c1a27ac45db01619d90a7e62bbaf660,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC013_TRIULVZ,SRC013,stage2_multi,SRC013_B0,15.0000,25.0,73.0,-166.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC013_TRIULVZ/DATABASES_MPI/,63,5be348fef4399da14f0d74ec860f99e3d63446f71b56e678a4bf6410d4ca9fe8,PASS,ULVZ107,A,A_G08,2.50000000,50.00000000,240.0000,15.0000,-20.0000,0.0000,8.8235,0.0000,0.0000,ULVZ003,B,B_G03,-38.91690376,-27.78430053,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ004,C,C_G08,39.86439939,-33.21280998,655.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000
SRC014_B0,SRC014,stage1_baseline,SRC014_B0,15.0000,306.0,79.0,-177.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC014_B0/DATABASES_MPI/,14,46db0f68fa7823db39149184fce15ffc1ead051b395c5621a8b1944b656932ec,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC014_TRIULVZ,SRC014,stage2_multi,SRC014_B0,15.0000,306.0,79.0,-177.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC014_TRIULVZ/DATABASES_MPI/,64,23e808cd5540634e7b91d533bea40692d8a1f6752a7bcd7474510ad1f8633cae,PASS,ULVZ021,A,A_G03,0.00000000,46.50000000,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,ULVZ079,B,B_G02,-43.74113282,-32.58662529,240.0000,10.6818,-20.6818,0.0000,0.0000,0.0000,0.0000,ULVZ062,C,C_G06,50.19019001,-43.84549898,400.0000,15.0000,-25.0000,-4.4318,0.0000,0.0000,0.0000
SRC015_B0,SRC015,stage1_baseline,SRC015_B0,15.0000,146.0,32.0,77.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC015_B0/DATABASES_MPI/,15,f4713b6250bd3d255e316d1d1e257f94ef3f50f5b6fe2225ce8be582e7135eac,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC015_TRIULVZ,SRC015,stage2_multi,SRC015_B0,15.0000,146.0,32.0,77.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC015_TRIULVZ/DATABASES_MPI/,65,ed817b0cabdc21c6603c6f4de8db564ff5d2db1390b6f2dafa4327781dae54be,PASS,ULVZ122,A,A_G04,0.00000000,55.50000000,268.9706,13.2353,-26.7647,0.0000,0.0000,0.0000,0.0000,ULVZ118,B,B_G06,-50.19019001,-43.84549898,204.2647,10.8824,-29.1176,0.0000,0.0000,0.0000,0.0000,ULVZ019,C,C_G03,38.91690376,-27.78430053,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000
