run_id,source_id,stage,run_kind,baseline_pair_id,n_ulvz,composition_summary,station_count,expected_trace_count,expected_npts,scratch_database_path,execution_order,run_relative_path,par_file_sha256,cmtsolution_sha256,stations_sha256,ulvz_file_sha256
SRC012_B0,SRC012,stage1_baseline,baseline,SRC012_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC012_B0/DATABASES_MPI/,12,production_inputs/SRC012_B0,8b3b4d2605bfdbeb26831df771abdcead17e23a0441c5c58e17e1719eefbce73,9ce1d0ebd36b60302fa4887ea54a25f3fb84e23d6a74c44483b40ae03269ddc7,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC012_TRIULVZ,SRC012,stage2_multi,tri_ulvz,SRC012_B0,3,A:ULVZ050:family_interpolant;B:ULVZ075:family_interpolant;C:ULVZ055:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC012_TRIULVZ/DATABASES_MPI/,62,production_inputs/SRC012_TRIULVZ,876a72a0d039b93786e3dde021eb6945848985cbf0fd2e6f39d2c80d4b8b41cd,9ce1d0ebd36b60302fa4887ea54a25f3fb84e23d6a74c44483b40ae03269ddc7,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,0db2fdd8bb4df78c675e5cc13a8d49c8001c67203dad653557aa2d09072f7dc2
SRC013_B0,SRC013,stage1_baseline,baseline,SRC013_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC013_B0/DATABASES_MPI/,13,production_inputs/SRC013_B0,0dbe7f2e558ab3c843ee700ec7e81fe71c35d612b393ccdfdee5ec0f3a9decc9,9ed48d3ed9d3bf9534627d69017422a3aa1d2092f3a5e57a876d3d5d30b32bbc,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC013_TRIULVZ,SRC013,stage2_multi,tri_ulvz,SRC013_B0,3,A:ULVZ107:survey_family_sample;B:ULVZ003:legacy_parameter_anchor;C:ULVZ004:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC013_TRIULVZ/DATABASES_MPI/,63,production_inputs/SRC013_TRIULVZ,7f945c5a442c218726bc1bcad3fface500460f503837fd4a2633eb0f75e91e0e,9ed48d3ed9d3bf9534627d69017422a3aa1d2092f3a5e57a876d3d5d30b32bbc,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,5fe671be41af5ed49cefe7d875965a0036011b82a7c98793446261a775326e42
SRC014_B0,SRC014,stage1_baseline,baseline,SRC014_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC014_B0/DATABASES_MPI/,14,production_inputs/SRC014_B0,a142acef8257438b9a5b84382d1018a0f9a14561ec44373ea6af4ac83fa04015,b56e1f4c6e8373831e57ed9c75d4e7435437d4daa10c14f32ef19806d9c1ee5a,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC014_TRIULVZ,SRC014,stage2_multi,tri_ulvz,SRC014_B0,3,A:ULVZ021:legacy_parameter_anchor;B:ULVZ079:family_interpolant;C:ULVZ062:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC014_TRIULVZ/DATABASES_MPI/,64,production_inputs/SRC014_TRIULVZ,580a186374dfa8f33fff94718d2412553cc0932a5151e7362da3415c2c4d89de,b56e1f4c6e8373831e57ed9c75d4e7435437d4daa10c14f32ef19806d9c1ee5a,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,50cd3f8fdcfca436308d664cde7b6a52decac6d63bcee1b815f45d99af8f6b03
SRC015_B0,SRC015,stage1_baseline,baseline,SRC015_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC015_B0/DATABASES_MPI/,15,production_inputs/SRC015_B0,efb6f7c5881c514c921810a0c74ee2773efd9331a395017c216bda3d194f8d2a,159b39d538f2e678a8220320fcebf661e956fdd879e977ee0153f907c5e72296,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC015_TRIULVZ,SRC015,stage2_multi,tri_ulvz,SRC015_B0,3,A:ULVZ122:survey_family_sample;B:ULVZ118:survey_family_sample;C:ULVZ019:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC015_TRIULVZ/DATABASES_MPI/,65,production_inputs/SRC015_TRIULVZ,9620b35ce64cae7815f96cba941a4c401d62c120b53d1a0f68e4fa675e593068,159b39d538f2e678a8220320fcebf661e956fdd879e977ee0153f907c5e72296,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,d4ce57cdec051968202c5beecd8c575a13430d32a0e4879342c1af2a7e6514be
SRC016_B0,SRC016,stage1_baseline,baseline,SRC016_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC016_B0/DATABASES_MPI/,16,production_inputs/SRC016_B0,da368956b60355bfa2e092570325560ec6d89a4333ee6491da527465d7cda1a7,ba65996ea7c0e4f3007fc6c97e8c7b5fb650917e40b88abae7267a8b723a5238,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC016_TRIULVZ,SRC016,stage2_multi,tri_ulvz,SRC016_B0,3,A:ULVZ046:family_interpolant;B:ULVZ098:family_interpolant;C:ULVZ115:survey_family_sample,510,1530,25400,/scratch/yiy/ulvz/SRC016_TRIULVZ/DATABASES_MPI/,66,production_inputs/SRC016_TRIULVZ,5ad70a569a1c9cb996a966bbfa34677b59be38e6618eccf43148e38b9c7d54ec,ba65996ea7c0e4f3007fc6c97e8c7b5fb650917e40b88abae7267a8b723a5238,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,91f5492f82b302703b40405f6c3f6f655da2fb566684054ddc184fd4beabbb57
